model_key,model_name,feature_group,is_leaky,matrix,n_features,val_auc_pr,val_roc_auc,val_threshold,val_expected_cost,val_precision,val_recall,val_f1,val_loss_avoided_pct,val_flagged_rate,test_auc_pr,test_roc_auc,test_expected_cost,test_precision,test_recall,test_f1,test_loss_avoided_pct,test_flagged_rate
logreg,Logistic Regression,base,True,linear,18,0.533487732283697,0.9976086115600706,0.5798399999999999,739934.0,0.020870469399881166,1.0,0.040887595489268826,100.0,0.02821479201963971,0.7744194823978271,0.9953209134900757,73527324.91,0.11873563561472107,0.9925149700598802,0.21209778464983606,98.85048492231905,0.03510398756067993
logreg,Logistic Regression,dest,False,linear,16,0.0012321627155263992,0.6577606216722346,0.17065999999999998,26452600.3,0.0005960950989507239,0.998220640569395,0.0011914786972741474,99.98469572970413,0.9860979701234187,0.010955540587297587,0.6694705293139055,30054766.05,0.0042244791727158405,0.998253493013972,0.008413354123142822,99.94249918841041,0.9923574460416201
logreg,Logistic Regression,synth,False,linear,21,0.06392987678196282,0.9406885705421879,0.13074,11175170.0,0.001406353615354779,1.0,0.0028087571249722,100.0,0.41871115986810464,0.2168581394401724,0.9521247070089054,10966576.0,0.010140622707100966,1.0,0.020077645585472762,100.0,0.4141291899668166
logreg,Logistic Regression,realistic,False,linear,44,0.26547942471976693,0.9890848278810748,0.28043999999999997,3255332.54,0.00570583918216305,0.9822064056939501,0.011345768459996916,99.92551229459858,0.101365999121955,0.5864176366376832,0.9899697277845494,5367567.16,0.024879494812360656,0.9967564870259481,0.04854722873704293,99.98463853687622,0.16824725244212813
logreg,Logistic Regression,all,True,linear,50,0.6119759885430872,0.9981752905778785,0.5598799999999999,974994.81,0.026974577915777218,0.9893238434163701,0.05251723812222537,99.94526252591788,0.021596973154664797,0.8534898870606935,0.997223190156459,73807817.25,0.114405311778291,0.9887724550898204,0.20508176361001862,98.84655854614881,0.036295320690742705
rf,Random Forest,base,True,tree,18,1.0,1.0,0.44011999999999996,1686.0,1.0,1.0,1.0,100.0,0.0005888559534699018,0.9999975311315232,0.9999999894989505,764937.3,1.0,0.9995009980039921,0.9997504367357125,99.98809316722048,0.004197432294662681
rf,Random Forest,dest,False,tree,16,0.00080982103101204,0.6280442758141936,0.001,101763852.96,0.0008631817817868644,0.7864768683274022,0.001724470905405748,88.37646179753634,0.5365284531634243,0.00571609939421138,0.6200037118322159,1059240008.84,0.005662271272191585,0.8036427145708582,0.011245310817109212,83.49955725000504,0.5960364336284948
rf,Random Forest,synth,False,tree,21,0.2954072846220371,0.8135964943781251,0.001,235553455.60000002,0.005105861529035333,0.6672597864768683,0.010134176496817868,68.95865103959645,0.07695467171280594,0.13140612129978296,0.839639174567315,1654173242.6999998,0.02963596999144051,0.7342814371257484,0.056972501040527326,73.88334605106259,0.10405042786357402
rf,Random Forest,realistic,False,tree,44,0.747626994028527,0.9687324176674447,0.001,5029992.05,0.018545135845749343,0.9412811387900356,0.03637363770756696,99.43575186159211,0.02988810689097678,0.8119107619240743,0.970234034369746,28397982.560000002,0.08647576489900141,0.9463572854291418,0.15847085857530813,99.56883043766679,0.04595800681689828
rf,Random Forest,all,True,tree,50,1.0,1.0,0.17065999999999998,1686.0,1.0,1.0,1.0,100.0,0.0005888559534699018,0.9999629595655691,0.9999998545604645,764937.3,1.0,0.9995009980039921,0.9997504367357125,99.98809316722048,0.004197432294662681
xgb,XGBoost,base,True,tree,18,1.0,1.0,0.9690599999999999,1686.0,1.0,1.0,1.0,100.0,0.0005888559534699018,0.9998091563725671,0.9999969943371095,764937.3,1.0,0.9995009980039921,0.9997504367357125,99.98809316722048,0.004197432294662681
xgb,XGBoost,dest,False,tree,16,0.0014617636466119684,0.6777496741730896,0.001,26686834.0,0.000589343783524171,1.0,0.0011779933240058061,100.0,0.999172248748681,0.009605916423281395,0.6483804505710508,52526766.25,0.004207996140651349,0.9967564870259481,0.008380611942004906,99.58813571704272,0.9947505901656865
xgb,XGBoost,synth,False,tree,21,0.27143429202698505,0.9486674724874511,0.07085999999999999,10830494.97,0.0014541703064126059,0.998220640569395,0.0029041100145205502,99.99435236077457,0.4042223696108417,0.2550480567087381,0.9255684783833323,200346337.98,0.010990096773829285,0.971307385229541,0.021734275728849138,96.98699098683664,0.3711552788002427
xgb,XGBoost,realistic,False,tree,44,0.8161234847682913,0.999160027121347,0.38023999999999997,541275.28,0.045047246660149885,0.9839857651245552,0.0861504907306434,99.97190106339636,0.012862625773659278,0.9083772523419532,0.9987623998623859,11829558.48,0.25100245763808043,0.968313373253493,0.39866461222393423,99.81823690989057,0.016200873225180823
xgb,XGBoost,all,True,tree,50,1.0,1.0,0.50998,1686.0,1.0,1.0,1.0,100.0,0.0005888559534699018,0.9998271692714489,0.9999978572608514,764937.3,1.0,0.9995009980039921,0.9997504367357125,99.98809316722048,0.004197432294662681
